0.065380 854.400253 487.640447 0.312380 488.541951 0.082420
0.460180 381.390703 365.430776 0.492530 796.717529 0.103790
1.056500 1177.647284 338.333211 0.307270 1012.484827 0.118600
1.482370 310.563273 861.105477 0.357380 850.998934 0.115050
1.954800 1160.748750 823.905469 0.295710 492.273489 0.089190
2.339700 1188.209400 332.398500 0.272220 860.329168 0.098810
2.710730 328.234200 357.075075 0.344840 189.852918 0.016380
3.071950 491.599015 260.348308 0.214000 590.421725 0.098140
3.384090 551.250000 847.749000 0.230090 844.914311 0.098830
3.713010 1394.595491 796.284682 0.180940 528.784203 0.081950
3.975900 1440.659850 269.510719 0.262480 846.018044 0.098570
4.336950 594.833120 251.519800 0.279380 309.332454 0.081830
4.698160 321.652299 396.636325 2.353410 0.000000 0.081830
