0.328570 906.427200 400.365000 0.032760 459.223114 0.067340
0.428670 455.964277 311.095615 0.442260 930.893768 0.114650
0.985580 1383.156417 228.162261 0.394260 404.405853 0.114960
1.494800 1401.752211 632.140342 0.345330 918.327006 0.098470
1.938600 484.971200 578.876200 0.283580 217.575027 0.061450
2.283630 367.728931 762.160522 1.182720 434.167748 0.067690
3.534040 320.172677 330.605154 0.655140 457.132778 0.082330
4.271510 281.972000 786.139000 0.361150 922.783269 0.099290
4.731950 1204.081200 750.874500 0.528610 478.368868 0.095110
5.355670 1191.078700 272.682375 0.393920 516.779047 0.082430
5.832020 1184.526646 789.419885 0.443600 781.362103 0.098880
6.374500 411.503400 675.570000 0.147380 453.467417 0.098660
6.620540 485.150400 228.123000 0.071930 782.420948 0.141730
6.834200 1267.205333 252.052500 0.189940 95.340703 0.007110
7.031250 1356.381600 218.326500 0.016430 0.000000 0.007110
